id,year,ne,nc,SATV,SATM,Hr,ETS,study_type,hw
1,1980,28,22,0.22,,7,1,1,1
1,1980,39,40,0.09,,10,1,1,1
1,1980,22,17,0.14,,10.5,1,1,1
1,1980,48,43,0.14,,10,1,1,1
1,1980,25,74,-0.01,,6,1,1,1
1,1980,37,35,0.14,,5,1,1,1
1,1980,24,70,0.18,,11,1,1,1
1,1980,16,19,0.01,,45,1,1,1
2,1973,145,129,0.13,0.12,21,1,1,1
2,1973,72,129,0.25,0.06,21,1,1,1
2,1973,71,129,0.31,0.09,21,1,1,1
3,1986,13,14,0,0.07,8.9,0,1,0
4,1966,43,37,0.01,,7.5,1,1,0
4,1966,19,13,0.67,,7.5,1,1,0
4,1966,16,11,-0.38,,7.5,1,1,0
4,1966,20,12,-0.24,,7.5,1,1,0
4,1966,39,28,0.29,,7.5,1,1,0
4,1966,38,25,,0.26,7.5,1,1,0
4,1966,18,13,,-0.41,7.5,1,1,0
4,1966,19,13,,0.08,7.5,1,1,0
4,1966,37,22,,0.3,7.5,1,1,0
4,1966,19,11,,-0.53,7.5,1,1,0
4,1966,17,13,,0.13,7.5,1,1,0
4,1966,20,12,,0.26,7.5,1,1,0
4,1966,20,13,,0.47,7.5,1,1,0
5,1988,16,17,0.13,0.48,24,0,1,1
6,1986,25,25,0.5,,50,0,2,1
6,1986,25,25,0.74,,50,0,2,1
7,1987,8,8,-0.23,0.33,18,0,2,0
8,1985,22,21,0.13,0.13,15,0,2,0
9,1960,45,45,0.13,0.34,30,0,2,0
10,1979,38,38,0.06,,20,0,2,1
11,1962,52,52,0.09,-0.11,10,1,2,1
12,1988,21,17,-0.1,-0.08,6,0,3,0
12,1988,24,17,-0.14,-0.29,6,0,3,0
12,1988,20,17,-0.16,-0.34,6,0,3,0
12,1988,20,17,-0.07,-0.06,6,0,3,0
13,1958,60,526,-0.02,0.21,15,1,3,1
13,1953,225,193,0.06,0.17,15,1,3,1
14,1955,110,158,0.06,,4.5,1,3,1
14,1955,161,158,,0.2,15,1,3,1
15,1978,192,684,0.15,0.03,40,0,3,0
16,1976,16,25,0.17,-0.19,14,0,3,0
17,1961,38,82,0.02,0.1,,1,3,1
18,1987,93,47,-0.04,0.6,63,0,3,1
19,1992,10,15,0.4,,18,0,3,0
20,1988,21,34,0.54,0.57,27,0,3,1
